year,game_kind,player_id,player_name,team_code,team_name,ba,ba_pr,bbp,bbp_pr,brl,brl_pr,brlp,chasep,chasep_pr,ev,ev_pr,hard_hitp,hard_hitp_pr,iso,iso_pr,kp,kp_pr,max_ev,max_ev_pr,obp,obp_pr,pa,prlp_pr,slg,slg_pr,whiffp,whiffp_pr,woba,woba_pr
2026,A,0000002289,陳重廷,ADD011,統一7-ELEVEn獅,0.15384615384615385,26,0,14,1,59,0.1,0.4166666666666667,10,139.15955725056,65,0.5,94,0.07692307692307693,64,0.23076923076923078,27,160.08640445952,35,0.15384615384615385,16,13,93,0.23076923076923078,34,0.25,30,0.17215384615384616,18
2026,A,0000000362,申皓瑋,AEO011,富邦悍將,0.2,38,0.09090909090909091,72,1,59,0.1,0.23809523809523808,59,133.934149248768,40,0.3,61,0,19,0,96,171.72629071488,78,0.2727272727272727,39,11,93,0.2,31,0.16666666666666666,66,0.2351818181818182,34
2026,A,0000003183,張志豪,ACN011,中信兄弟,0.2857142857142857,76,0,14,1,59,0.14285714285714285,0.3333333333333333,29,142.29725386422857,82,0.5714285714285714,98,0.14285714285714285,88,0.125,73,169.0936936128,70,0.25,31,8,97,0.42857142857142855,84,0.26666666666666666,21,0.27975,46
2026,A,0000005542,張政禹,AAA011,味全龍,0.23333333333333334,51,0.10576923076923077,77,0,25,0,0.22807017543859648,63,140.62033734143995,75,0.23809523809523808,44,0.04444444444444445,50,0.125,73,166.88852218368,58,0.3106796116504854,53,104,25,0.2777777777777778,46,0.22926829268292684,38,0.28276699029126223,47
2026,A,0000000159,成晉,AJL011,樂天桃猿,0.25,60,0.075,63,0,25,0,0.2153846153846154,71,133.74383630828936,39,0.19148936170212766,36,0.02941176470588236,42,0.15,63,161.155282464,37,0.34615384615384615,78,80,25,0.27941176470588236,47,0.09722222222222222,88,0.30710256410256426,63
2026,A,0000006730,張仁瑋,ACN011,中信兄弟,0.2833333333333333,75,0.08955223880597014,71,0,25,0,0.3125,35,135.62607445310505,48,0.3023255813953488,62,0.08333333333333331,65,0.11940298507462686,76,167.994994464,62,0.34328358208955223,76,67,25,0.36666666666666664,72,0.20353982300884957,54,0.3347611940298509,70
2026,A,0000006872,林岳谷,AEO011,富邦悍將,0.288135593220339,78,0.06060606060606061,50,0,25,0,0.3181818181818182,33,125.54966120294401,11,0.06666666666666667,19,0.03389830508474573,45,0.13636363636363635,68,161.5386282048,38,0.328125,66,66,25,0.3220338983050847,57,0.19130434782608696,57,0.3035000000000001,58
2026,A,0000006229,葉子霆,AEO011,富邦悍將,0.16666666666666666,29,0.03225806451612903,34,0,25,0,0.28421052631578947,42,131.53308035127654,28,0.1956521739130435,38,0.07407407407407407,63,0.11290322580645161,79,162.77901399936,41,0.2033898305084746,24,62,25,0.24074074074074073,35,0.11428571428571428,83,0.20544067796610166,28
2026,A,0000006929,紀慶然,AKP011,台鋼雄鷹,0.25,60,0.06153846153846154,50,0,25,0,0.24,58,138.69785636200416,62,0.2894736842105263,57,0.033333333333333326,44,0.16923076923076924,50,164.47078859904,48,0.2923076923076923,47,65,25,0.2833333333333333,47,0.1650485436893204,68,0.270523076923077,43
2026,A,0000007071,林泓弦,ADD011,統一7-ELEVEn獅,0.21818181818181817,44,0.034482758620689655,35,0,25,0,0.28169014084507044,43,132.67133357984,34,0.16666666666666666,33,0.054545454545454536,53,0.15517241379310345,59,169.34138774784,71,0.24561403508771928,28,58,25,0.2727272727272727,44,0.1326530612244898,79,0.24077192982456141,35
2026,A,0000002298,陳重羽,ADD011,統一7-ELEVEn獅,0.29310344827586204,80,0.14285714285714285,88,0,25,0,0.19318181818181818,76,133.46557166623995,38,0.16666666666666666,33,0,19,0.18571428571428572,45,160.01259994368,35,0.4142857142857143,91,70,25,0.29310344827586204,50,0.17757009345794392,62,0.35182857142857155,79
2026,A,0000004641,李丞齡,ADD011,統一7-ELEVEn獅,0.2916666666666667,79,0.04,38,0,25,0,0.3333333333333333,29,145.61243659775997,91,0.38095238095238093,80,0.10416666666666663,74,0.16,57,185.4612853632,99,0.32,60,50,25,0.3958333333333333,78,0.21212121212121213,48,0.33362,69
2026,A,0000000361,張洺瑀,AEO011,富邦悍將,0.21153846153846154,43,0.14754098360655737,91,0,25,0,0.211864406779661,73,139.25978036736,66,0.3333333333333333,70,0.05769230769230768,57,0.21311475409836064,32,170.50157993088,75,0.32786885245901637,65,61,25,0.2692307692307692,43,0.2222222222222222,42,0.29562295081967216,53
