game_id,date,game_status,kind_code,game_sno,week,inning_seq,field_no,field_name,pre_exe_date,visiting_team_code,visiting_team_name,visiting_score,visiting_record_w,visiting_record_l,visiting_record_t,home_team_code,home_team_name,home_score,home_record_w,home_record_l,home_record_t,winning_pitcher_acnt,winning_pitcher_name,loser_pitcher_acnt,loser_pitcher_name,closer_acnt,closer_name,skip_trackman,visiting_home_type
2026-D-44,2026-04-24,POSTPONED,D,44,17,1,F26,園區,2026-04-24T14:05:00,AKP022,台鋼雄鷹二軍,0,10,4,1,ACN022,中信兄弟二軍,0,2,9,0,,,,,,,False,1
2026-A-59,2026-04-25,FINISHED,A,59,17,9,F31,亞太主,2026-04-25T16:05:00,AKP011,台鋼雄鷹,4,11,8,1,ADD011,統一7-ELEVEn獅,6,9,9,1,0000007597,獅帝芬,0000001390,王躍霖,0000007293,鍾允華,True,2
2026-A-60,2026-04-25,FINISHED,A,60,17,9,F19,洲際,2026-04-25T17:05:00,AEO011,富邦悍將,0,8,9,0,ACN011,中信兄弟,1,6,12,0,0000005604,勝騎士,0000006749,魔力藍,0000003331,李振昌,False,2
2026-A-61,2026-04-25,FINISHED,A,61,17,9,F23,樂天桃園,2026-04-25T17:05:00,AAA011,味全龍,4,12,6,0,AJL011,樂天桃猿,1,8,10,0,0000005555,陳冠偉,0000000128,朱承洋,0000005788,林凱威,False,2
2026-D-45,2026-04-25,FINISHED,D,45,17,9,F24,青埔,2026-04-25T14:05:00,ADD022,統一7-ELEVEn獅二軍,2,5,10,0,AJL022,樂天桃猿二軍,3,7,5,0,0000007789,麥斯威尼,0000006711,李承鴻,0000000779,陳柏豪,False,2
2026-A-62,2026-04-26,FINISHED,A,62,17,9,F31,亞太主,2026-04-26T16:05:00,AKP011,台鋼雄鷹,5,11,9,1,ADD011,統一7-ELEVEn獅,9,10,9,1,0000001260,郭俊麟,0000001603,王維中,,,True,2
2026-A-63,2026-04-26,FINISHED,A,63,17,9,F19,洲際,2026-04-26T17:05:00,AEO011,富邦悍將,8,9,9,0,ACN011,中信兄弟,5,6,13,0,,,,,,,False,2
2026-A-64,2026-04-26,FINISHED,A,64,17,9,F23,樂天桃園,2026-04-26T17:05:00,AAA011,味全龍,2,12,7,0,AJL011,樂天桃猿,3,9,10,0,0000000128,朱承洋,0000005555,陳冠偉,,,False,2
2026-D-8,2026-04-26,FINISHED,D,8,17,9,F24,青埔,2026-04-26T14:05:00,AAA022,味全龍二軍,6,7,8,0,AJL022,樂天桃猿二軍,1,7,6,0,0000006724,曹祐齊,0000006857,舒治浩,,,False,2
2026-D-46,2026-04-26,FINISHED,D,46,17,9,F07,嘉義市,2026-04-26T14:05:00,ACN022,中信兄弟二軍,6,3,9,0,AEO022,富邦悍將二軍,4,9,4,1,0000007281,游竣宥,0000005479,江國豪,0000001232,江忠城,False,2
